Date,Open,High,Low,Close,Adj Close,Volume
2020-12-15,27.620001,27.990000,27.620001,27.850000,26.943207,47208200
2020-12-16,27.850000,28.240000,27.469999,28.190001,27.272137,59399200
2020-12-17,28.299999,28.389999,28.070000,28.240000,27.320507,39297700
2020-12-18,28.100000,28.320000,28.020000,28.100000,27.185066,44707900
2020-12-21,27.190001,27.490000,26.520000,27.020000,26.140230,99988800
2020-12-22,27.200001,27.469999,27.049999,27.280001,26.391766,46513200
2020-12-23,27.430000,28.250000,27.350000,27.950001,27.039951,49038900
2020-12-28,28.360001,28.520000,28.180000,28.180000,27.262461,36313300
2020-12-29,28.379999,28.430000,27.990000,28.270000,27.349531,29891100
2020-12-30,28.350000,28.490000,28.200001,28.340000,27.417252,36968200
2021-01-04,28.650000,29.180000,28.530001,28.910000,27.968693,74719700
2021-01-05,28.900000,30.180000,28.240000,30.040001,29.061901,95181100
2021-01-06,30.160000,30.900000,30.049999,30.100000,29.119946,96562500
2021-01-07,30.340000,31.150000,30.340000,31.000000,29.990643,56171300
2021-01-08,31.459999,31.760000,30.350000,31.120001,30.106735,67136300
2021-01-11,30.610001,31.059999,30.400000,30.860001,29.855202,48744700
2021-01-12,31.120001,31.559999,30.629999,30.629999,29.632689,65691900
2021-01-13,30.680000,30.860001,29.000000,29.150000,28.200878,93826600
2021-01-14,29.170000,29.670000,28.719999,29.450001,28.491110,50745400
2021-01-15,29.049999,29.080000,28.030001,28.120001,27.204416,80673300
2021-01-18,28.309999,28.850000,28.010000,28.070000,27.156042,68855700
2021-01-19,28.480000,28.860001,27.639999,28.690001,27.755856,61656000
2021-01-20,28.950001,29.120001,28.110001,28.209999,27.291483,60306200
2021-01-21,28.020000,28.400000,27.510000,27.549999,26.652973,41284900
2021-01-22,26.930000,27.240000,26.559999,27.090000,26.207952,51181900
2021-01-26,27.250000,27.969999,26.820000,27.000000,26.120882,64514600
2021-01-27,26.809999,28.170000,26.530001,27.400000,26.507858,68337800
2021-01-28,27.320000,28.450001,27.309999,27.760000,26.856136,67827000
2021-01-29,27.520000,27.680000,26.690001,26.690001,25.820976,67555300
2021-02-01,27.260000,27.680000,26.830000,27.530001,26.633625,44449500
2021-02-02,28.400000,29.139999,28.200001,28.660000,27.726831,91663000
2021-02-03,28.980000,29.139999,28.660000,28.940001,27.997717,47486800
2021-02-04,28.830000,28.990000,28.209999,28.820000,27.881622,41444100
2021-02-05,28.980000,30.090000,28.320000,28.840000,27.900972,121098700
2021-02-08,28.510000,29.299999,27.799999,28.110001,27.194740,98821700
2021-02-09,28.049999,28.370001,27.379999,27.540001,26.643301,63662200
2021-02-10,27.740000,28.040001,27.120001,27.799999,26.894833,52949900
2021-02-11,28.139999,28.500000,27.870001,28.080000,27.165716,61158600
2021-02-12,27.809999,28.490000,27.610001,28.440001,27.513996,47801100
2021-02-17,null,null,null,null,null,null
2021-02-18,30.379999,30.920000,29.040001,29.270000,28.316971,105539200
2021-02-19,28.030001,28.490000,27.170000,27.330000,26.440138,215834800
2021-02-22,22.799999,23.200001,21.400000,21.670000,20.964426,490230400
2021-02-23,23.049999,24.260000,22.709999,24.059999,23.276608,293503100
2021-02-24,24.549999,25.000000,24.010000,24.400000,23.605537,155246400
2021-02-25,25.000000,25.250000,23.100000,23.190001,22.434937,170233000
2021-02-26,23.200001,23.420000,21.969999,22.240000,21.515867,159881000
2021-03-01,22.799999,23.040001,21.920000,22.000000,21.283682,90330100
2021-03-02,21.840000,22.330000,20.670000,21.990000,21.274008,147772300
2021-03-03,21.799999,21.889999,20.480000,21.190001,20.500055,185688500
2021-03-04,21.299999,22.400000,21.120001,22.219999,21.496517,127843200
2021-03-05,22.440001,23.219999,22.290001,22.389999,21.660982,126306300
2021-03-08,21.940001,22.280001,20.959999,21.100000,20.412987,141142800
2021-03-09,21.360001,21.950001,20.860001,21.590000,20.887032,122648000
2021-03-10,21.940001,22.340000,21.580000,22.340000,21.612612,111744100
2021-03-11,22.620001,23.490000,22.610001,23.290001,22.531679,130577500
2021-03-12,23.150000,23.379999,22.860001,23.170000,22.415586,68123200
2021-03-15,23.110001,23.670000,23.100000,23.650000,22.879957,68295000
2021-03-16,23.629999,23.680000,23.230000,23.280001,22.522005,43407900
2021-03-17,23.139999,24.129999,23.110001,24.080000,23.295958,77966400
2021-03-18,23.879999,23.900000,23.070000,23.240000,22.483307,77198900
2021-03-19,23.270000,24.040001,23.180000,24.000000,23.218561,90244500
2021-03-22,23.690001,23.780001,23.230000,23.520000,22.754190,44129300
2021-03-23,23.170000,23.629999,22.799999,22.799999,22.057632,57124700
2021-03-24,23.190001,23.540001,22.820000,22.820000,22.076982,63338300
2021-03-25,22.700001,23.299999,22.160000,23.200001,22.444611,79214500
2021-03-26,23.480000,23.879999,23.110001,23.459999,22.696142,60918600
2021-03-29,23.340000,23.830000,23.280001,23.830000,23.054096,50099700
2021-03-30,23.639999,23.990000,23.570000,23.830000,23.054096,41959100
2021-03-31,23.799999,24.230000,23.780001,24.100000,23.315306,68609400
2021-04-01,24.290001,24.389999,23.780001,23.889999,23.112143,47232900
2021-04-05,24.129999,24.200001,23.680000,24.040001,23.257259,40454400
2021-04-06,24.180000,24.370001,23.910000,24.020000,23.237911,45934300
2021-04-07,23.940001,24.340000,23.930000,24.000000,23.218561,55892200
2021-04-08,23.980000,24.040001,23.370001,23.700001,22.928329,63231300
2021-04-09,23.500000,23.780001,23.370001,23.650000,22.879957,47494400
2021-04-12,23.959999,24.370001,23.780001,23.889999,23.112143,50592900
2021-04-13,23.980000,24.110001,23.690001,23.969999,23.189537,53612300
2021-04-14,24.200001,24.580000,23.980000,24.350000,23.557165,90836500
2021-04-15,23.700001,23.830000,23.020000,23.090000,23.090000,64193600
2021-04-16,23.129999,23.240000,22.809999,22.950001,22.950001,59567300
2021-04-19,22.950001,24.889999,22.770000,24.280001,24.280001,196519100
2021-04-20,24.330000,24.590000,23.760000,23.820000,23.820000,94965400
2021-04-22,24.139999,24.190001,23.650000,23.709999,23.709999,46600100
2021-04-23,23.879999,23.940001,23.510000,23.690001,23.690001,60341000
2021-04-26,23.850000,24.049999,23.610001,23.780001,23.780001,33281000
2021-04-27,23.820000,24.170000,23.100000,23.100000,23.100000,76684900
2021-04-28,23.400000,24.090000,23.360001,23.940001,23.940001,66374200
2021-04-29,24.120001,24.290001,23.420000,23.620001,23.620001,49775900
2021-04-30,23.400000,23.930000,23.280001,23.620001,23.620001,61039200
2021-05-03,23.799999,23.809999,23.299999,23.430000,23.430000,49039900
2021-05-04,23.540001,23.639999,22.879999,22.889999,22.889999,44765000
2021-05-05,23.170000,23.950001,23.120001,23.830000,23.830000,75611900
2021-05-06,23.709999,23.850000,23.400000,23.500000,23.500000,54091600
2021-05-07,23.639999,24.450001,23.459999,24.379999,24.379999,74118200
2021-05-10,24.799999,24.980000,24.580000,24.700001,24.700001,73804500
2021-05-11,24.440001,25.170000,24.320000,25.150000,25.150000,73729900
2021-05-12,24.950001,25.530001,24.690001,24.780001,24.780001,89980700
2021-05-13,24.760000,25.100000,24.430000,24.990000,24.990000,77282100
2021-05-14,25.799999,26.379999,25.549999,26.299999,26.299999,196135500
2021-05-17,26.299999,26.660000,26.200001,26.660000,26.660000,83512600
2021-05-18,26.700001,26.799999,26.270000,26.350000,26.350000,63510600
2021-05-19,25.850000,26.350000,25.799999,26.150000,26.150000,84700500
2021-05-20,26.150000,26.280001,25.719999,25.930000,25.930000,71371100
2021-05-21,26.080000,26.309999,25.940001,25.950001,25.950001,82884500
2021-05-24,26.280001,26.520000,25.990000,26.389999,26.389999,63029600
2021-05-25,26.480000,26.620001,25.780001,25.840000,25.840000,63672000
2021-05-26,25.910000,26.180000,25.650000,26.090000,26.090000,46646900
2021-05-27,26.080000,26.250000,25.770000,25.910000,25.910000,48877800
2021-05-28,26.200001,27.020000,26.150000,26.990000,26.990000,129526400
2021-05-31,26.959999,27.200001,26.780001,26.870001,26.870001,46298900
2021-06-01,27.400000,27.700001,27.010000,27.290001,27.290001,90744900
2021-06-02,27.350000,28.070000,27.260000,27.870001,27.870001,103985100
2021-06-04,28.059999,28.620001,27.920000,28.500000,28.500000,102757300
2021-06-07,28.500000,28.549999,28.010000,28.290001,28.290001,74548900
2021-06-08,28.170000,28.799999,27.959999,28.660000,28.660000,88398600
2021-06-09,28.719999,29.080000,28.520000,28.660000,28.660000,60724200
2021-06-10,28.830000,29.030001,28.570000,28.680000,28.680000,35871000
2021-06-11,28.799999,28.850000,28.260000,28.570000,28.570000,54894400
2021-06-14,28.900000,29.350000,28.610001,28.750000,28.750000,64286600
2021-06-15,28.959999,29.059999,28.629999,29.030001,29.030001,42597100
2021-06-16,29.080000,29.290001,28.770000,29.139999,29.139999,77432900
2021-06-17,29.010000,29.200001,27.910000,28.129999,28.129999,95264600
2021-06-18,28.000000,28.420000,27.639999,28.320000,28.320000,115250700
2021-06-21,28.400000,29.000000,28.400000,28.950001,28.950001,50709600
2021-06-22,29.000000,29.270000,28.670000,29.100000,29.100000,41602700
2021-06-23,29.250000,29.520000,29.000000,29.290001,29.290001,50723100
